query_run_id,dominant_cluster,max_membership,membership_entropy,membership_entropy_normalized,nearest_center_distance,top2_margin,membership_c0,membership_c1,membership_c2,membership_c3
20260626T120156Z-clean-run-eu-us-gac-v1__pilot-balanc--b58c0f00ffd6--tiregion_top_tenants__lookback_days-14__limit_k-100,1,0.9870610792644694,0.08053207916898342,0.05809161562478489,0.13633781486495572,0.9792872978459924,0.004029029104193998,0.9870610792644694,0.007773781418476921,0.0011361102128596991
20260626T120220Z-clean-run-eu-us-gac-v1__pilot-balanc--e6ba65814cc6--region_user_value_topk__lookback_days-1__limit_k-25,1,0.9799692275883836,0.11599435553718768,0.08367224075230598,0.1621108743138855,0.9680787622038944,0.006337411373587443,0.9799692275883836,0.011890465384489167,0.001802895653539891
20260626T120245Z-clean-run-eu-us-gac-v1__pilot-balanc--162e3d78b1a1--egion_tenant_tier_join__lookback_days-3__limit_k-25,1,0.8888361121363308,0.4514358740703532,0.32564214840033656,0.32171577552479425,0.8277273447089337,0.03934136807282029,0.8888361121363308,0.06110876742739714,0.010713752363451706
20260626T120308Z-clean-run-eu-us-gac-v1__pilot-balanc--a1b002f58c8f--tenant_tier_left_join__lookback_days-30__limit_k-25,1,0.9273329283243267,0.32852566663226274,0.23698117502755314,0.28363217569828314,0.8880650734545185,0.02580075385764856,0.9273329283243267,0.039267854869808175,0.0075984629482165975
20260626T120331Z-clean-run-eu-us-gac-v1__pilot-balanc--314ce1b1b926--_tenant_id-10__us_tenant_id-10100__lookback_days-14,0,0.8230915449368417,0.6049123748190879,0.436352041661932,0.30103381369109433,0.6957967200185509,0.8230915449368417,0.03006605871054462,0.12729482491829078,0.019547571434322855
20260626T120347Z-clean-run-eu-us-gac-v1__pilot-balanc--855a4ed92b62--tenant_point_rollup__tenant_id-10__lookback_days-14,3,0.9987722931936394,0.010712137365637609,0.007727173727363371,0.07766904416616449,0.998176006706237,0.0005962864874024352,0.000216366042783844,0.0004150542761742886,0.9987722931936394
20260626T120402Z-clean-run-eu-us-gac-v1__pilot-balanc--f757c92af8a1--__limit_k-250__payload_repeat-16__payload_width-512,1,0.9735196623263247,0.14485606755453462,0.10449156515180189,0.16476383084796875,0.9569153904279981,0.007799384020939554,0.9735196623263247,0.01660427189832664,0.002076681754409097
20260626T120422Z-clean-run-eu-us-gac-v1__pilot-balanc--99cc6bc75ece--c_etl_global_user_topk__lookback_days-3__limit_k-10,3,0.9980100548540298,0.01640952819658147,0.011836972476267851,0.09272521226971447,0.9970552357180337,0.000954819135996145,0.00035738955557197504,0.00067773645440206,0.9980100548540298
20260626T120437Z-clean-run-eu-us-gac-v1__pilot-balanc--46ca48067a9f--_tenant_id-10__us_tenant_id-11000__lookback_days-30,0,0.818111474221856,0.6164310741212703,0.44466102684230685,0.30486139659051736,0.6872797942435187,0.818111474221856,0.030986605425710582,0.13083167997833728,0.02007024037409607
20260626T120453Z-clean-run-eu-us-gac-v1__pilot-balanc--b8a7d8902adf--_fdw_user_segment_join__lookback_days-7__limit_k-25,1,0.9882207147574291,0.07469333454607233,0.05387985166853942,0.1398247457023141,0.9814263553052696,0.0038761795550736567,0.9882207147574291,0.006794359452159529,0.0011087462353376095
20260626T120514Z-clean-run-eu-us-gac-v1__pilot-balanc--f30ec6c6e02e--_etl_global_user_topk__lookback_days-30__limit_k-50,3,0.9980100548540298,0.01640952819658147,0.011836972476267851,0.09272521226971447,0.9970552357180337,0.000954819135996145,0.00035738955557197504,0.00067773645440206,0.9980100548540298
20260626T120529Z-clean-run-eu-us-gac-v1__pilot-balanc--c4f45cdc8d4b--eu_tenant_id-1__us_tenant_id-10005__lookback_days-7,0,0.8292896771656225,0.590372328182804,0.4258636150737015,0.2962813772590155,0.7064182962850402,0.8292896771656225,0.028933516679681717,0.12287138088058237,0.01890542527411325
