query_run_id,k,dominant_cluster,max_membership,nearest_center_distance,top2_membership_margin,membership_c0,distance_c0,membership_c1,distance_c1,membership_c2,distance_c2
20260626T115134Z-clean-run-eu-us-gac-v1__pilot-balanc--ab905f91fd57--_fdw_user_segment_join__lookback_days-3__limit_k-50,3,1,0.9939992121189096,0.14245365576683036,0.989223209966835,0.0012247857290157522,1.485722402480671,0.9939992121189096,0.14245365576683036,0.004776002152074587,0.9227544179325993
20260626T115155Z-clean-run-eu-us-gac-v1__pilot-balanc--5726f29fca95--region_user_value_topk__lookback_days-7__limit_k-10,3,1,0.9892476657009291,0.174513349933463,0.9807339583635809,0.0022386269617226283,1.4712680762173624,0.9892476657009291,0.174513349933463,0.008513707337348197,0.9218152026072491
20260626T115219Z-clean-run-eu-us-gac-v1__pilot-balanc--dbab8234ed31--nant_point_rollup__tenant_id-1000__lookback_days-30,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T115234Z-clean-run-eu-us-gac-v1__pilot-balanc--c3d0cbd5f4eb--ent_filter_summary__lookback_days-14__min_value-900,3,2,0.7105243429581507,0.5281379384067486,0.4792413153006296,0.058192629384328204,1.267932719507974,0.23128302765752112,0.7822574087907489,0.7105243429581507,0.5281379384067486
20260626T115251Z-clean-run-eu-us-gac-v1__pilot-balanc--deee54bd9b71--multi_dimension_rollup__lookback_days-3__limit_k-10,3,1,0.9826458152284079,0.20710460145104062,0.968865811670266,0.003574181213450172,1.47882540430728,0.9826458152284079,0.20710460145104062,0.013780003558141879,0.922128480966005
20260626T115311Z-clean-run-eu-us-gac-v1__pilot-balanc--d1309619208e--t__gac_etl_top_tenants__lookback_days-7__limit_k-10,3,0,0.9988885781968728,0.08725132407668072,0.9980846021947178,0.9988885781968728,0.08725132407668072,0.0003074458009722776,1.4787133533556778,0.0008039760021549976,1.0562528962965918
20260626T115326Z-clean-run-eu-us-gac-v1__pilot-balanc--44871847f974--fdw_global_user_join__lookback_days-14__limit_k-100,3,1,0.9948021848201986,0.13628827148006936,0.9906808532170698,0.001076483576672547,1.4875231942007836,0.9948021848201986,0.13628827148006936,0.004121331603128723,0.9298292275832983
20260626T115347Z-clean-run-eu-us-gac-v1__pilot-balanc--c7c8afe06427--__limit_k-250__payload_repeat-64__payload_width-512,3,2,0.49483651692971226,0.7684143730058178,0.1995091801921549,0.29532733673755734,0.9205572696220327,0.20983614633273037,1.0375259873447435,0.49483651692971226,0.7684143730058178
20260626T115402Z-clean-run-eu-us-gac-v1__pilot-balanc--20a5fbf596e5--tenant_id-1000__us_tenant_id-10100__lookback_days-1,3,2,0.9523146950433264,0.2781931368544639,0.9243446246534377,0.019715234566784697,1.0807839823158307,0.027970070389888767,0.9562618629699287,0.9523146950433264,0.2781931368544639
20260626T115418Z-clean-run-eu-us-gac-v1__pilot-balanc--476c33bb9417--multi_dimension_rollup__lookback_days-1__limit_k-50,3,1,0.9721520019397049,0.24696281355707725,0.9501700357219331,0.005866031842523421,1.4771274872203288,0.9721520019397049,0.24696281355707725,0.021981966217771765,0.9302833279344617
20260626T115437Z-clean-run-eu-us-gac-v1__pilot-balanc--f5a4e6eff71c--vent_filter_summary__lookback_days-7__min_value-100,3,1,0.9966614721887408,0.11074667517258464,0.9939618507303859,0.0006389063529042135,1.4518420105156422,0.9966614721887408,0.11074667517258464,0.0026996214583548984,0.8767310269735383
20260626T115456Z-clean-run-eu-us-gac-v1__pilot-balanc--8c8f902e7af4--multi_dimension_rollup__lookback_days-1__limit_k-25,3,1,0.9740457325374122,0.24337996840968595,0.9535703437498735,0.005478878675049066,1.4919199210794087,0.9740457325374122,0.24337996840968595,0.020475388787538684,0.9404946886684465
20260626T115524Z-clean-run-eu-us-gac-v1__pilot-balanc--b9a90f4f18bd--eu_tenant_id-5__us_tenant_id-10001__lookback_days-7,3,2,0.9429680256218563,0.29706118035533075,0.908712382259563,0.022776331015850335,1.0934540127130168,0.03425564336229335,0.9479023408808142,0.9429680256218563,0.29706118035533075
20260626T115540Z-clean-run-eu-us-gac-v1__pilot-balanc--de25ce8c43a3--egion_global_user_join__lookback_days-7__limit_k-50,3,1,0.9929029736896899,0.15381937421596784,0.9872907146604749,0.0014847672810949916,1.4991600072408087,0.9929029736896899,0.15381937421596784,0.005612259029215037,0.941304698798519
20260626T115607Z-clean-run-eu-us-gac-v1__pilot-balanc--5c4aa83c327f--enant_point_rollup__tenant_id-500__lookback_days-14,3,2,0.9385257580798776,0.30617685407745465,0.9015893244483655,0.024537808288610293,1.0961904293888902,0.036936433631512104,0.9499905586276686,0.9385257580798776,0.30617685407745465
20260626T115623Z-clean-run-eu-us-gac-v1__pilot-balanc--1f012d8d8d3d--_tenant_tier_left_join__lookback_days-1__limit_k-50,3,1,0.9240105561912947,0.3568982662904717,0.8632455774741353,0.015224465091545928,1.501902187361895,0.9240105561912947,0.3568982662904717,0.0607649787171594,0.9252363617870665
20260626T115644Z-clean-run-eu-us-gac-v1__pilot-balanc--028de9a85102--_rollup__lookback_days-1__min_value-100__limit_k-25,3,1,0.9926764935211985,0.14798878638886806,0.9868197044342094,0.001466717391812503,1.448405823748191,0.9926764935211985,0.14798878638886806,0.0058567890869891,0.8921351736166853
20260626T115707Z-clean-run-eu-us-gac-v1__pilot-balanc--07b221e1ad61--eu_tenant_id-1__us_tenant_id-11000__lookback_days-7,3,2,0.943071653298364,0.29685245403757277,0.9088823965618832,0.02273908996515524,1.093353771658641,0.034189256736480746,0.9479161107721765,0.943071653298364,0.29685245403757277
