condition_id,metric,observed_repetitions,mean,standard_deviation,coefficient_of_variation,median,mad,robust_relative_dispersion,minimum,maximum
cond-5e469422c082309ca012,main_root_actual_total_time_ms,5,142.1774,13.037574402472266,0.09169934463896699,139.797,7.52000000000001,0.07975244103950739,129.598,161.989
cond-5faa3019b230f5846285,elapsed_seconds,3,0.044304333333333334,0.0054666891564578044,0.1233894913919136,0.042238,0.0020659999999999984,0.07251885979449779,0.040172,0.050503
cond-5faa3019b230f5846285,main_root_actual_total_time_ms,3,0.8596666666666666,0.08458329228242026,0.09839080141421512,0.908,0.0010000000000000009,0.0016328193832599132,0.762,0.909
cond-626acafcfab45b04176a,elapsed_seconds,3,0.5331856666666667,0.046445523942930514,0.0871094758291149,0.521448,0.027713000000000043,0.07879461384452537,0.493735,0.584374
cond-626acafcfab45b04176a,main_root_actual_total_time_ms,3,460.72166666666664,47.35125099016219,0.10277626258115824,446.582,24.531000000000006,0.08144005042746912,422.051,513.532
cond-655121eb744d31a08ad7,elapsed_seconds,3,227.19650266666667,0.03442367790247886,0.00015151499912383713,227.213218,0.006158999999996695,4.018838992014584e-05,227.156913,227.219377
cond-655121eb744d31a08ad7,main_root_actual_total_time_ms,3,224710.7503333333,36.4186060459912,0.00016206881954676516,224728.541,6.312999999994645,4.164870985386792e-05,224668.856,224734.854
cond-656e5fefb973b7da7046,elapsed_seconds,3,2.558666666666667,0.10156331269869726,0.03969384289943874,2.508171,0.01592299999999991,0.009412213042890563,2.492248,2.675581
cond-656e5fefb973b7da7046,main_root_actual_total_time_ms,3,2486.5303333333336,89.8895043724979,0.03615057623366933,2444.65,19.427000000000135,0.011781837972716012,2425.223,2589.718
cond-65b11355ad1f90ca6542,elapsed_seconds,5,0.04151200000000001,0.001985852084119056,0.04783802476679167,0.041302,0.0019750000000000045,0.07089571933562555,0.038986,0.043695
cond-65b11355ad1f90ca6542,main_root_actual_total_time_ms,5,0.067,0.007681145747868608,0.11464396638609861,0.063,0.0030000000000000027,0.07060000000000005,0.06,0.078
cond-6c9e6448bb422a2bdfa0,elapsed_seconds,3,1.4443873333333332,0.057960731157684145,0.04012824664137931,1.458037,0.03626799999999997,0.03687899333144491,1.38082,1.494305
cond-6c9e6448bb422a2bdfa0,main_root_actual_total_time_ms,3,1362.0903333333333,60.41003195110334,0.04435097325980338,1373.751,42.06899999999996,0.045402332300395004,1296.7,1415.82
cond-70d7bcd7626b433cb422,elapsed_seconds,3,1.9726290000000002,0.074364384244072,0.03769810960098021,1.964817,0.062338000000000005,0.04703863962903415,1.902479,2.050591
cond-70d7bcd7626b433cb422,main_root_actual_total_time_ms,3,1905.6383333333333,74.32760221030497,0.0390040444244693,1898.396,63.19900000000007,0.0493568451471664,1835.197,1983.322
cond-72bfefbb5c0254ea65c6,elapsed_seconds,3,91.99301366666667,0.07316021480513701,0.0007952801184471506,92.024258,0.021106000000003178,0.0003400381190794791,91.909419,92.045364
